ID,speed,MAD,ENMO
36,0,NA,NA
36,1,4,42
36,3,145,103
36,4,228,149
36,5,294,198
36,6,483,314
38,0,NA,NA
38,1,6,44
38,3,140,98
38,4,211,147
38,5,350,241
41,0,NA,NA
41,1,3,27
41,3,160,105
42,0,NA,NA
42,1,3,0
42,3,113,52
42,4,176,88
42,5,293,159
44,0,NA,NA
44,1,3,21
44,3,141,90
44,4,211,134
44,5,320,212
44,6,518,374
45,0,NA,NA
45,1,7,34
45,3,138,94
45,4,222,146
45,5,342,228
46,0,NA,NA
46,1,4,6
46,3,181,104
46,4,242,138
46,5,332,191
47,0,NA,NA
47,1,2,14
47,3,120,75
47,4,230,142
47,5,307,204
47,6,464,288
48,0,NA,NA
48,1,3,0
48,3,159,86
48,4,212,118
48,5,290,167
48,6,479,294
50,0,NA,NA
50,1,6,21
50,3,162,94
50,4,229,136
50,5,326,209
50,6,488,310
51,0,NA,NA
51,1,4,27
51,3,143,92
51,4,213,132
51,5,296,184
52,0,NA,NA
52,1,2,14
52,3,114,71
52,4,173,104
52,5,256,156
54,0,NA,NA
54,1,7,15
54,3,159,99
54,4,231,146
54,5,340,231
54,6,544,378
55,0,NA,NA
55,1,2,15
55,3,167,99
55,4,236,138
55,5,314,194
56,0,NA,NA
56,1,2,18
56,3,126,81
56,4,194,120
56,5,295,186
58,0,NA,NA
58,1,2,27
58,2,91,63
58,3,158,98
58,4,242,148
58,5,363,217
60,0,NA,NA
60,1,2,30
60,2,88,65
60,3,147,94
60,4,214,135
61,0,NA,NA
61,1,3,18
61,3,139,93
61,4,200,132
62,0,NA,NA
62,1,3,31
62,3,167,105
62,4,259,153
62,5,390,228
66,0,NA,NA
66,1,5,29
66,3,149,97
66,4,228,146
66,5,323,207
67,0,NA,NA
67,1,7,34
67,3,252,163
67,4,330,210
67,5,476,299
67,6,606,405
68,0,NA,NA
68,1,5,28
68,3,124,82
68,4,218,131
68,5,339,200
69,0,NA,NA
69,1,4,18
69,2,96,65
69,3,161,103
69,4,253,160
69,5,406,257
70,0,NA,NA
70,1,3,19
70,3,189,118
70,4,295,193
70,5,330,198
71,0,NA,NA
71,1,2,33
71,3,187,117
71,4,252,154
71,5,349,220
72,0,NA,NA
72,1,2,16
72,3,107,70
72,4,181,113
72,5,263,173
72,6,412,283
73,0,NA,NA
73,1,2,14
73,3,165,99
73,4,199,126
73,5,323,204
74,0,NA,NA
74,1,2,36
74,3,243,153
74,4,294,186
74,5,356,222
74,6,486,310
75,0,NA,NA
75,1,2,31
75,2,81,59
75,3,131,86
75,4,211,142
77,0,NA,NA
77,1,9,12
77,3,146,90
77,4,235,146
77,5,382,238
78,0,NA,NA
78,1,2,26
78,3,165,111
78,4,212,140
78,5,318,203
79,0,NA,NA
79,1,2,36
79,2,102,70
79,3,143,91
79,4,235,144
79,5,354,212
80,0,NA,NA
80,1,1,32
80,3,141,94
80,4,233,144
80,5,337,213
80,6,526,345
81,0,NA,NA
81,1,3,36
81,2,116,89
81,3,203,141
81,4,366,241
82,0,NA,NA
82,1,1,15
82,3,185,110
82,4,238,142
82,5,275,165
82,6,367,230
83,0,NA,NA
83,1,1,28
83,3,145,99
83,4,240,151
84,0,NA,NA
84,1,3,16
84,3,177,114
84,4,244,151
84,5,342,204
85,0,NA,NA
85,1,4,18
85,2,124,74
85,3,189,110
85,4,236,137
85,5,336,195
88,0,NA,NA
88,1,1,0
88,2,170,112
88,3,213,140
89,0,NA,NA
89,1,5,35
89,3,140,95
89,4,215,136
89,5,309,196
91,0,NA,NA
91,1,2,19
91,3,157,95
91,4,245,151
91,5,364,215
