"name","ID","speed","weight","pVGRF_N","pVACC_g","pRGRF_N","pRACC_g"
"2017-01-28_ED_2km_m4_1_003.txt",3,2,86.5,1024.46,1.25,1031.96,1.26
"2017-01-28_ED_3km_m4_1_003.txt",3,3,86.5,1118.43,1.47,1132.6,1.48
"2017-01-28_ED_4km_m4_1_003.txt",3,4,86.5,1202.38,1.56,1230.36,1.57
"2017-01-28_ED_5km_m4_1_003.txt",3,5,86.5,1201.82,1.59,1245.65,1.61
"2017-01-28_ED_6km_m4_1_003.txt",3,6,86.5,1231.33,1.69,1287.71,1.75
"2017-01-25_ED_2km_m4_1_004.txt",4,2,61.1,669.1,1.15,676.25,1.15
"2017-01-25_ED_3km_m4_1_004.txt",4,3,61.1,703.06,1.22,716.61,1.23
"2017-01-25_ED_4km_m4_1_004.txt",4,4,61.1,759.67,1.34,771.15,1.36
"2017-01-25_ED_5km_m4_1_004.txt",4,5,61.1,816.48,1.48,827.09,1.53
"2017-01-25_ED_6km_m4_1_004.txt",4,6,61.1,909.01,1.64,931.8,1.72
"2017-02-06_ED_2km_m4_1_005.txt",5,2,75.6,905.3,1.24,915.97,1.28
"2017-02-06_ED_3km_m4_1_005.txt",5,3,75.6,965.23,1.33,982.18,1.37
"2017-02-06_ED_4km_m4_1_005.txt",5,4,75.6,1024.68,1.41,1031.8,1.49
"2017-02-06_ED_5km_m4_1_005.txt",5,5,75.6,1033.55,1.49,1055.15,1.62
"2017-03-03_ED_2km_m4_1_007.txt",7,2,66.7,781.62,1.28,790.98,1.33
"2017-03-03_ED_3km_m4_1_007.txt",7,3,66.7,843.19,1.53,861.19,1.63
"2017-03-03_ED_4km_m4_1_007.txt",7,4,66.7,904.41,1.59,927.55,1.63
"2017-03-03_ED_5km_m4_1_007.txt",7,5,66.7,962.62,1.61,1000.02,1.67
"2017-03-03_ED_6km_m4_1_007.txt",7,6,66.7,1025.28,1.7,1066.73,1.83
"2017-05-25_ED_2km_m4_1_009.txt",9,2,80.8,942.22,1.27,950.35,1.29
"2017-05-25_ED_3km_m4_1_009.txt",9,3,80.8,996.62,1.34,1004.11,1.34
"2017-05-25_ED_4km_m4_1_009.txt",9,4,80.8,1027.88,1.46,1046.46,1.47
"2017-05-25_ED_5km_m4_1_009.txt",9,5,80.8,1041.38,1.52,1073.13,1.56
"2017-05-25_ED_6km_m4_1_009.txt",9,6,80.8,1107.22,1.68,1152.46,1.8
"2016-12-06_ED_2km_1_m3_011.txt",11,2,110.4,1307.23,1.23,1313.92,1.25
"2016-12-06_ED_3km_1_m3_011.txt",11,3,110.4,1364.78,1.28,1379.37,1.3
"2016-12-06_ED_4km_1_m3_011.txt",11,4,110.4,1439.3,1.44,1457.47,1.46
"2016-12-06_ED_5km_1_m3_011.txt",11,5,110.4,1549.65,1.54,1590.63,1.57
"2016-12-06_ED_6km_1_m3_011.txt",11,6,110.4,1634.04,1.78,1666.25,1.85
"2017-01-28_ED_2km_m4_1_012.txt",12,2,67.8,853.64,1.27,862,1.31
"2017-01-28_ED_3km_m4_1_012.txt",12,3,67.8,919.55,1.38,934.92,1.42
"2017-01-28_ED_4km_m4_1_012.txt",12,4,67.8,947.97,1.47,968.01,1.52
"2017-01-28_ED_5km_m4_1_012.txt",12,5,67.8,1037.03,1.64,1042.93,1.65
"2017-01-28_ED_2km_m4_1_014.txt",14,2,66.1,810.06,1.27,818.74,1.27
"2017-01-28_ED_3km_m4_1_014.txt",14,3,66.1,902.9,1.45,917.32,1.46
"2017-01-28_ED_4km_m4_1_014.txt",14,4,66.1,925.48,1.44,942.63,1.47
"2017-01-28_ED_5km_m4_1_014.txt",14,5,66.1,957.36,1.5,981.44,1.54
"2017-01-28_ED_6km_m4_1_014.txt",14,6,66.1,980.35,1.64,987.71,1.72
"2017-04-24_ED_2km_m3_1_017.txt",17,2,61.4,698.7,1.22,702.21,1.23
"2017-04-24_ED_3km_m3_1_017.txt",17,3,61.4,750.57,1.3,755.83,1.3
"2017-04-24_ED_4km_m3_1_017.txt",17,4,61.4,754.28,1.36,764.16,1.38
"2017-04-24_ED_5km_m3_1_017.txt",17,5,61.4,776.39,1.46,790.16,1.52
"2017-04-24_ED_6km_m3_1_017.txt",17,6,61.4,840.47,1.62,859.77,1.75
"2017-03-13_ED_2km_m3_1_021.txt",21,2,91.3,1043.65,1.24,1056.74,1.27
"2017-03-13_ED_3km_m3_1_021.txt",21,3,91.3,1151.76,1.39,1177.2,1.43
"2017-03-13_ED_4km_m3_1_021.txt",21,4,91.3,1255.57,1.54,1285.87,1.64
"2017-03-13_ED_5km_m3_1_021.txt",21,5,91.3,1327.66,1.83,1365.1,2.02
