name,ID,speed,weight,pVGRF_N,pVACC_g,pRGRF_N,pRACC_g
2017-01-28_ED_2km_m4_1_003.txt,3,2,86.5,1023.44,1.26,1030.45,1.28
2017-01-28_ED_3km_m4_1_003.txt,3,3,86.5,1118.43,1.51,1132.6,1.51
2017-01-28_ED_4km_m4_1_003.txt,3,4,86.5,1202.38,1.61,1230.36,1.62
2017-01-28_ED_5km_m4_1_003.txt,3,5,86.5,1200.1,1.63,1246.09,1.66
2017-01-28_ED_6km_m4_1_003.txt,3,6,86.5,1232.43,1.73,1294.02,1.79
2017-01-25_ED_2km_m4_1_004.txt,4,2,61.1,671.01,1.16,678.08,1.17
2017-01-25_ED_3km_m4_1_004.txt,4,3,61.1,701.61,1.23,715.7,1.25
2017-01-25_ED_4km_m4_1_004.txt,4,4,61.1,755.6,1.35,770.45,1.38
2017-01-25_ED_5km_m4_1_004.txt,4,5,61.1,808.81,1.5,827.65,1.55
2017-01-25_ED_6km_m4_1_004.txt,4,6,61.1,911.54,1.67,925.97,1.74
2017-02-06_ED_2km_m4_1_005.txt,5,2,75.6,904.58,1.25,915.53,1.28
2017-02-06_ED_3km_m4_1_005.txt,5,3,75.6,964.02,1.34,982.18,1.38
2017-02-06_ED_4km_m4_1_005.txt,5,4,75.6,1025.39,1.43,1034.31,1.51
2017-02-06_ED_5km_m4_1_005.txt,5,5,75.6,1036.84,1.52,1057.75,1.66
2017-03-03_ED_2km_m4_1_007.txt,7,2,66.7,782.75,1.29,791.27,1.34
2017-03-03_ED_3km_m4_1_007.txt,7,3,66.7,843.61,1.56,860.67,1.67
2017-03-03_ED_4km_m4_1_007.txt,7,4,66.7,913.99,1.61,928.51,1.65
2017-03-03_ED_5km_m4_1_007.txt,7,5,66.7,964.54,1.64,1000.26,1.71
2017-03-03_ED_6km_m4_1_007.txt,7,6,66.7,1024.34,1.76,1066.53,1.89
2017-05-25_ED_2km_m4_1_009.txt,9,2,80.8,940.97,1.28,945.44,1.29
2017-05-25_ED_3km_m4_1_009.txt,9,3,80.8,996.07,1.35,1003.18,1.35
2017-05-25_ED_4km_m4_1_009.txt,9,4,80.8,1028.29,1.49,1046.87,1.5
2017-05-25_ED_5km_m4_1_009.txt,9,5,80.8,1043.08,1.56,1074.91,1.6
2017-05-25_ED_6km_m4_1_009.txt,9,6,80.8,1109.05,1.74,1152.58,1.86
2016-12-06_ED_2km_1_m3_011.txt,11,2,110.4,1306.64,1.26,1312.86,1.27
2016-12-06_ED_3km_1_m3_011.txt,11,3,110.4,1365.66,1.31,1376.97,1.33
2016-12-06_ED_4km_1_m3_011.txt,11,4,110.4,1438.83,1.48,1458.08,1.5
2016-12-06_ED_5km_1_m3_011.txt,11,5,110.4,1540.44,1.57,1587.93,1.61
2016-12-06_ED_6km_1_m3_011.txt,11,6,110.4,1631.82,1.85,1670.13,1.9
2017-01-28_ED_2km_m4_1_012.txt,12,2,67.8,853.64,1.27,861.65,1.31
2017-01-28_ED_3km_m4_1_012.txt,12,3,67.8,920.45,1.39,934.92,1.43
2017-01-28_ED_4km_m4_1_012.txt,12,4,67.8,949.56,1.48,965.88,1.52
2017-01-28_ED_5km_m4_1_012.txt,12,5,67.8,1039.36,1.68,1050.41,1.68
2017-01-28_ED_2km_m4_1_014.txt,14,2,66.1,810.06,1.28,819.06,1.28
2017-01-28_ED_3km_m4_1_014.txt,14,3,66.1,902.9,1.46,917.32,1.49
2017-01-28_ED_4km_m4_1_014.txt,14,4,66.1,928.21,1.46,943.03,1.49
2017-01-28_ED_5km_m4_1_014.txt,14,5,66.1,948.29,1.52,980.2,1.56
2017-01-28_ED_6km_m4_1_014.txt,14,6,66.1,973,1.68,983.31,1.77
2017-04-24_ED_2km_m3_1_017.txt,17,2,61.4,698.64,1.23,703.89,1.24
2017-04-24_ED_3km_m3_1_017.txt,17,3,61.4,749.01,1.31,755.87,1.31
