"name","ID","speed","weight","pVGRF_N","pVACC_g","pRGRF_N","pRACC_g"
"2017-01-28_ED_2km_m4_1_003.txt",3,2,86.5,1024.14,1.27,1029.1,1.27
"2017-01-28_ED_3km_m4_1_003.txt",3,3,86.5,1124.95,1.41,1138.66,1.42
"2017-01-28_ED_4km_m4_1_003.txt",3,4,86.5,1210.98,1.54,1237.83,1.58
"2017-01-28_ED_5km_m4_1_003.txt",3,5,86.5,1214.52,1.7,1251.6,1.73
"2017-01-28_ED_6km_m4_1_003.txt",3,6,86.5,1242.71,1.86,1289.96,1.9
"2017-01-25_ED_2km_m4_1_004.txt",4,2,61.1,668.39,1.17,675.07,1.19
"2017-01-25_ED_3km_m4_1_004.txt",4,3,61.1,696.45,1.28,708.68,1.29
"2017-01-25_ED_4km_m4_1_004.txt",4,4,61.1,744.73,1.42,757.69,1.43
"2017-01-25_ED_5km_m4_1_004.txt",4,5,61.1,799.59,1.61,820.26,1.64
"2017-01-25_ED_6km_m4_1_004.txt",4,6,61.1,869.51,1.79,895.27,1.85
"2017-02-06_ED_2km_m4_1_005.txt",5,2,75.6,906.19,1.27,915.14,1.31
"2017-02-06_ED_3km_m4_1_005.txt",5,3,75.6,964.83,1.42,983.08,1.46
"2017-02-06_ED_4km_m4_1_005.txt",5,4,75.6,1003.39,1.52,1031.55,1.61
"2017-02-06_ED_5km_m4_1_005.txt",5,5,75.6,1028.57,1.63,1059.51,1.85
"2017-03-03_ED_2km_m4_1_007.txt",7,2,66.7,782.3,1.18,789.62,1.32
"2017-03-03_ED_3km_m4_1_007.txt",7,3,66.7,842.39,1.39,860.12,1.6
"2017-03-03_ED_4km_m4_1_007.txt",7,4,66.7,903.3,1.55,924.97,1.66
"2017-03-03_ED_5km_m4_1_007.txt",7,5,66.7,970.24,1.65,1000.87,1.81
"2017-03-03_ED_6km_m4_1_007.txt",7,6,66.7,1016.75,1.93,1062.22,2.1
"2017-05-25_ED_2km_m4_1_009.txt",9,2,80.8,937.82,1.28,942.19,1.29
"2017-05-25_ED_3km_m4_1_009.txt",9,3,80.8,1000.63,1.32,1008.82,1.35
"2017-05-25_ED_4km_m4_1_009.txt",9,4,80.8,1032.24,1.46,1049.83,1.53
"2017-05-25_ED_5km_m4_1_009.txt",9,5,80.8,1048.29,1.61,1079.17,1.7
"2017-05-25_ED_6km_m4_1_009.txt",9,6,80.8,1105.76,1.8,1148.74,1.87
"2016-12-06_ED_2km_1_m3_011.txt",11,2,110.4,1308.42,1.27,1314.23,1.28
"2016-12-06_ED_3km_1_m3_011.txt",11,3,110.4,1362.59,1.43,1378.75,1.45
"2016-12-06_ED_4km_1_m3_011.txt",11,4,110.4,1429.86,1.6,1448.5,1.61
"2016-12-06_ED_5km_1_m3_011.txt",11,5,110.4,1536.67,1.74,1570.53,1.77
"2016-12-06_ED_6km_1_m3_011.txt",11,6,110.4,1625.38,2.02,1652.6,2.06
"2017-01-28_ED_2km_m4_1_012.txt",12,2,67.8,854.34,1.34,861.75,1.42
"2017-01-28_ED_3km_m4_1_012.txt",12,3,67.8,925.11,1.5,940.67,1.56
"2017-01-28_ED_4km_m4_1_012.txt",12,4,67.8,923.85,1.59,955.14,1.64
"2017-01-28_ED_5km_m4_1_012.txt",12,5,67.8,1034.65,1.71,1062.23,1.8
"2017-01-28_ED_2km_m4_1_014.txt",14,2,66.1,808.34,1.3,818.79,1.33
"2017-01-28_ED_3km_m4_1_014.txt",14,3,66.1,902.71,1.56,917.32,1.58
"2017-01-28_ED_4km_m4_1_014.txt",14,4,66.1,927.38,1.6,946.25,1.64
"2017-01-28_ED_5km_m4_1_014.txt",14,5,66.1,940.28,1.75,974.8,1.76
"2017-01-28_ED_6km_m4_1_014.txt",14,6,66.1,968.36,1.74,1029.78,1.92
"2017-04-24_ED_2km_m3_1_017.txt",17,2,61.4,699.34,1.25,702.37,1.29
"2017-04-24_ED_3km_m3_1_017.txt",17,3,61.4,743.2,1.44,748.94,1.48
"2017-04-24_ED_4km_m3_1_017.txt",17,4,61.4,746.81,1.56,757.74,1.58
"2017-04-24_ED_5km_m3_1_017.txt",17,5,61.4,779.56,1.67,795.44,1.74
"2017-04-24_ED_6km_m3_1_017.txt",17,6,61.4,843.54,1.75,863.73,1.96
"2017-03-13_ED_2km_m3_1_021.txt",21,2,91.3,1047.11,1.21,1061.7,1.3
