name,ID,speed,weight,pVGRF_N,pVACC_g,pRGRF_N,pRACC_g
2017-01-28_ED_2km_m4_1_003.txt,3,2,86.5,1021.99,1.3,1028.5,1.3
2017-01-28_ED_3km_m4_1_003.txt,3,3,86.5,1122.92,1.45,1137.08,1.48
2017-01-28_ED_4km_m4_1_003.txt,3,4,86.5,1207.75,1.59,1234.75,1.64
2017-01-28_ED_5km_m4_1_003.txt,3,5,86.5,1211.88,1.75,1251.15,1.8
2017-01-28_ED_6km_m4_1_003.txt,3,6,86.5,1240.65,1.91,1293.36,1.96
2017-01-25_ED_2km_m4_1_004.txt,4,2,61.1,667.35,1.2,674.95,1.22
2017-01-25_ED_3km_m4_1_004.txt,4,3,61.1,696.49,1.31,708.34,1.31
2017-01-25_ED_4km_m4_1_004.txt,4,4,61.1,746.43,1.45,756.98,1.47
2017-01-25_ED_5km_m4_1_004.txt,4,5,61.1,800.44,1.66,819.85,1.69
2017-01-25_ED_6km_m4_1_004.txt,4,6,61.1,869.62,1.85,894.51,1.93
2017-02-06_ED_2km_m4_1_005.txt,5,2,75.6,906.61,1.29,915.15,1.35
2017-02-06_ED_3km_m4_1_005.txt,5,3,75.6,964.44,1.45,983.22,1.5
2017-02-06_ED_4km_m4_1_005.txt,5,4,75.6,1003.39,1.56,1031.52,1.67
2017-02-06_ED_5km_m4_1_005.txt,5,5,75.6,1034.6,1.68,1060.47,1.93
2017-03-03_ED_2km_m4_1_007.txt,7,2,66.7,781.9,1.2,789.7,1.33
2017-03-03_ED_3km_m4_1_007.txt,7,3,66.7,843.56,1.43,860.16,1.62
2017-03-03_ED_4km_m4_1_007.txt,7,4,66.7,903.42,1.59,925.23,1.7
2017-03-03_ED_5km_m4_1_007.txt,7,5,66.7,970.98,1.71,1001.06,1.84
2017-03-03_ED_6km_m4_1_007.txt,7,6,66.7,1015.78,2.02,1056.58,2.18
2017-05-25_ED_2km_m4_1_009.txt,9,2,80.8,937.82,1.31,942.58,1.32
2017-05-25_ED_3km_m4_1_009.txt,9,3,80.8,1001.34,1.35,1007.73,1.37
2017-05-25_ED_4km_m4_1_009.txt,9,4,80.8,1031.02,1.48,1048.38,1.54
2017-05-25_ED_5km_m4_1_009.txt,9,5,80.8,1046.17,1.64,1077.94,1.73
2017-05-25_ED_6km_m4_1_009.txt,9,6,80.8,1108.82,1.89,1147.15,1.95
2016-12-06_ED_2km_1_m3_011.txt,11,2,110.4,1307.05,1.3,1313.24,1.3
2016-12-06_ED_3km_1_m3_011.txt,11,3,110.4,1362.34,1.46,1377.99,1.47
2016-12-06_ED_4km_1_m3_011.txt,11,4,110.4,1429.09,1.67,1446.86,1.68
2016-12-06_ED_5km_1_m3_011.txt,11,5,110.4,1530.95,1.81,1562.42,1.84
2016-12-06_ED_6km_1_m3_011.txt,11,6,110.4,1604.53,2.1,1641.91,2.18
2017-01-28_ED_2km_m4_1_012.txt,12,2,67.8,854.44,1.37,863.06,1.46
2017-01-28_ED_3km_m4_1_012.txt,12,3,67.8,925.21,1.54,940.45,1.6
2017-01-28_ED_4km_m4_1_012.txt,12,4,67.8,923.49,1.64,953.28,1.68
2017-01-28_ED_5km_m4_1_012.txt,12,5,67.8,1033.99,1.75,1057.72,1.83
2017-01-28_ED_2km_m4_1_014.txt,14,2,66.1,808.39,1.33,818.77,1.37
2017-01-28_ED_3km_m4_1_014.txt,14,3,66.1,902.71,1.62,917.32,1.65
2017-01-28_ED_4km_m4_1_014.txt,14,4,66.1,927.25,1.66,941.85,1.7
2017-01-28_ED_5km_m4_1_014.txt,14,5,66.1,940.85,1.8,975.07,1.82
2017-01-28_ED_6km_m4_1_014.txt,14,6,66.1,967.37,1.79,1016.57,2.01
2017-04-24_ED_2km_m3_1_017.txt,17,2,61.4,699.34,1.27,702.24,1.3
2017-04-24_ED_3km_m3_1_017.txt,17,3,61.4,743.2,1.46,749.35,1.49
2017-04-24_ED_4km_m3_1_017.txt,17,4,61.4,746.81,1.59,757.74,1.61
2017-04-24_ED_5km_m3_1_017.txt,17,5,61.4,779.65,1.72,795.44,1.81
2017-04-24_ED_6km_m3_1_017.txt,17,6,61.4,843,1.84,863.73,2.04
2017-03-13_ED_2km_m3_1_021.txt,21,2,91.3,1046.93,1.23,1058.71,1.31
2017-03-13_ED_3km_m3_1_021.txt,21,3,91.3,1156.8,1.37,1178.84,1.45
2017-03-13_ED_4km_m3_1_021.txt,21,4,91.3,1255.98,1.51,1282.52,1.59
2017-03-13_ED_5km_m3_1_021.txt,21,5,91.3,1326.28,1.59,1368.27,1.86
2017-03-03_ED_2km_1_m2_022.txt,22,2,87.8,1030.84,1.34,1041.42,1.38
2017-03-03_ED_3km_1_m2_022.txt,22,3,87.8,1070.99,1.49,1090.15,1.54
2017-03-03_ED_4km_1_m2_022.txt,22,4,87.8,1154.95,1.91,1178.2,1.95
2017-03-03_ED_5km_1_m2_022.txt,22,5,87.8,1245.46,1.95,1293.23,2.1
2017-02-27_ED_2km_m2_1_025.txt,25,2,95.7,1164.72,1.33,1171.14,1.38
2017-02-27_ED_3km_m2_1_025.txt,25,3,95.7,1222.88,1.38,1232.57,1.43
2017-02-27_ED_4km_m2_1_025.txt,25,4,95.7,1231.07,1.42,1251.33,1.52
2017-02-27_ED_5km_m2_1_025.txt,25,5,95.7,1290.15,1.66,1323.64,1.77
2017-02-27_ED_6km_m2_1_025.txt,25,6,95.7,1323.24,1.89,1360.94,2.17
2017-03-27_ED_2km_m3_1_026.txt,26,2,73.7,877.11,1.32,883.75,1.43
2017-03-27_ED_3km_m3_1_026.txt,26,3,73.7,1020.32,1.53,1035.84,1.66
2017-03-27_ED_4km_m3_1_026.txt,26,4,73.7,1109.31,1.73,1136.97,1.88
2017-03-27_ED_5km_m3_1_026.txt,26,5,73.7,1156.81,1.99,1191.1,2.31
2017-03-27_ED_6km_m3_1_026.txt,26,6,73.7,1143.44,2.14,1188.03,2.79
2017-01-25_ED_2km_m3_1_027.txt,27,2,94.4,1068.6,1.24,1078.3,1.26
2017-01-25_ED_3km_m3_1_027.txt,27,3,94.4,1172.19,1.3,1186.92,1.34
2017-01-25_ED_4km_m3_1_027.txt,27,4,94.4,1249.57,1.41,1271.87,1.48
2017-01-25_ED_5km_m3_1_027.txt,27,5,94.4,1269.24,1.56,1303.14,1.68
2017-01-25_ED_6km_m3_1_027.txt,27,6,94.4,1295.08,1.76,1341.19,1.97
2017-04-29_ED_2km_m2_1_028.txt,28,2,154.7,1737.2,1.1,1756.55,1.27
2017-04-29_ED_3km_m2_1_028.txt,28,3,154.7,1902.07,1.26,1923.15,1.45
2017-04-29_ED_4km_m2_1_028.txt,28,4,154.7,2184.81,1.65,2227.42,1.86
2017-04-29_ED_5km_m2_1_028.txt,28,5,154.7,2374.41,1.97,2452.67,2.15
2017-03-07_ED_2km_1_m2_030.txt,30,2,92.3,1120.02,1.45,1125.74,1.51
2017-03-07_ED_3km_1_m2_030.txt,30,3,92.3,1245.2,1.63,1254.4,1.75
2017-03-07_ED_4km_1_m2_030.txt,30,4,92.3,1307.44,1.84,1318.45,1.99
2017-03-17_ED_2km_m2_1_031.txt,31,2,104.4,1203.28,1.23,1213.48,1.27
2017-03-17_ED_3km_m2_1_031.txt,31,3,104.4,1349.94,1.38,1361.26,1.42
2017-03-17_ED_4km_m2_1_031.txt,31,4,104.4,1486.28,1.65,1506.94,1.69
2017-03-17_ED_5km_m2_1_031.txt,31,5,104.4,1599.14,1.82,1629.99,1.88
2017-03-17_ED_6km_m2_1_031.txt,31,6,104.4,1658.13,2.02,1696.14,2.13
2017-04-24_ED_2km_m3_1_034.txt,34,2,70.7,844.85,1.24,852.41,1.29
