"ID","speed","steps"
38,1,0
38,3,4
38,4,8
38,5,9
41,1,0
41,3,4
42,1,0
42,3,4
42,4,8
42,5,10
44,1,0
44,3,6
44,4,9
44,5,9
44,6,10
45,1,0
45,3,5
45,4,6
45,5,8
46,1,0
46,3,5
46,4,9
46,5,9
47,1,0
47,3,4
47,4,9
47,5,10
47,6,11
48,1,0
48,3,4
48,4,8
48,5,9
48,6,11
50,1,0
50,3,2
50,4,6
50,5,7
50,6,8
51,1,0
51,3,6
51,4,9
51,5,10
52,1,0
52,3,2
52,4,9
52,5,10
54,1,0
54,3,5
54,4,9
54,5,10
54,6,11
55,1,0
55,3,6
55,4,10
55,5,10
56,1,0
56,3,6
56,4,9
56,5,10
58,1,0
58,2,2
58,3,8
58,4,9
58,5,10
60,1,0
60,2,3
60,3,6
60,4,9
61,1,0
61,3,6
61,4,9
62,1,0
62,3,7
62,4,9
62,5,10
66,1,0
66,3,5
66,4,9
66,5,10
67,1,0
67,3,8
67,4,8
67,5,9
67,6,10
68,1,0
68,3,6
68,4,9
68,5,10
69,1,0
69,2,0
69,3,6
69,4,10
69,5,11
70,1,0
70,3,5
70,4,8
70,5,9
71,1,0
71,3,6
71,4,10
71,5,10
72,1,0
72,3,6
72,4,9
72,5,10
72,6,10
73,1,0
73,3,4
73,4,9
73,5,10
74,1,0
74,3,7
74,4,9
74,5,10
74,6,10
75,1,0
75,2,0
75,3,4
75,4,9
77,1,0
77,3,6
77,4,9
77,5,10
78,1,0
78,3,5
78,4,10
78,5,10
79,1,0
79,2,4
79,3,4
79,4,9
79,5,9
80,1,0
80,3,6
80,4,8
80,5,8
80,6,10
81,1,0
81,2,4
81,3,8
81,4,10
82,1,0
82,3,4
82,4,8
82,5,10
82,6,10
83,1,0
83,3,4
83,4,9
84,1,0
84,3,8
84,4,10
84,5,10
85,1,0
85,2,4
85,3,5
85,4,8
85,5,9
88,1,0
88,2,5
88,3,8
89,1,0
89,3,6
89,4,8
89,5,11
91,1,0
91,3,5
91,4,9
91,5,10
